name,observed_version,requested_version,request_matches,role,delivery,artifact,metadata_sha256,source,license_metadata,license_files,modification,required_notices,status
onnxruntime-directml,1.23.0,onnxruntime-directml==1.23.0,True,direct-request,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/onnxruntime-directml,c647f3035a89c3d910aba7e24cb3d99d68f0b686804ba6618129cb3500015003,https://pypi.org/pypi/onnxruntime-directml/1.23.0/json,License :: OSI Approved :: MIT License,onnxruntime/LICENSE sha256=c250d6278f0b47a6439fb7592b08b58a55eb9f535aa49a1db63211c3f982b674,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
orjson,3.11.9,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/orjson,288a4d616e68837ef98059bb71059b7910b72159b7b7ad2875c8bb81463c1887,https://pypi.org/pypi/orjson/3.11.9/json,MPL-2.0 AND (Apache-2.0 OR MIT),orjson-3.11.9.dist-info/licenses/LICENSE-APACHE sha256=7cfd738c53d61c79f07e348f622bf7707c9084237054d37fbe07788a75f5881c; orjson-3.11.9.dist-info/licenses/LICENSE-MIT sha256=36516aefdc84c5d5a1e7485425913a22dbda69eb1930c5e84d6ae4972b5194b9; orjson-3.11.9.dist-info/licenses/LICENSE-MPL-2.0 sha256=9303ea1cfbf049945652668089d753fb1a7e1f2e52c680615c3d2cea7515c118,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
packaging,26.2,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/packaging,4f9cbcd7933415a4793f7767c98a2b6a512c823fc81c87337815705f230ecabf,https://pypi.org/pypi/packaging/26.2/json,Apache-2.0 OR BSD-2-Clause,packaging-26.2.dist-info/licenses/LICENSE sha256=cad1ef5bd340d73e074ba614d26f7deaca5c7940c3d8c34852e65c4909686c48; packaging-26.2.dist-info/licenses/LICENSE.APACHE sha256=0d542e0c8804e39aa7f37eb00da5a762149dc682d7829451287e11b938e94594; packaging-26.2.dist-info/licenses/LICENSE.BSD sha256=b70e7e9b742f1cc6f948b34c16aa39ffece94196364bc88ff0d2180f0028fac5,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
pandas,3.0.3,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/pandas,be337b6c2e9b006aaaea77696d7023378664f610f45062c74ffa467d4a69095d,https://pypi.org/pypi/pandas/3.0.3/json,License :: OSI Approved :: BSD License,pandas-3.0.3.dist-info/LICENSE sha256=9850f6b5bdef7346503065807b878deb8058b976c5c329f4c4d23bf4796ce9ae,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
pillow,12.1.1,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/pillow,17ff1f2d2adbc1ee618e97f149a81caaf4c3293d5a687227b6289199e70f2d17,https://pypi.org/pypi/pillow/12.1.1/json,MIT-CMU,pillow-12.1.1.dist-info/licenses/LICENSE sha256=926df5f888a7337fd4126a435202edf2847312be81a167df91a6d70cfa3f2ed3,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
pip,26.0.1,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/pip,66a219b8d1ac1ba97680788a9508d542084542181259f8440c7b8254f5b768df,https://pypi.org/pypi/pip/26.0.1/json,MIT,pip-26.0.1.dist-info/licenses/LICENSE.txt sha256=634300a669d49aeae65b12c6c48c924c51a4cdf3d1ff086dc3456dc8bcaa2104; pip-26.0.1.dist-info/licenses/src/pip/_vendor/cachecontrol/LICENSE.txt sha256=86eeee87be2a43f3ff1f56496f451f69243926f025fedbb033666c304c4c161b; pip-26.0.1.dist-info/licenses/src/pip/_vendor/certifi/LICENSE sha256=e93716da6b9c0d5a4a1df60fe695b370f0695603d21f6f83f053e42cfc10caf7; pip-26.0.1.dist-info/licenses/src/pip/_vendor/dependency_groups/LICENSE.txt sha256=1ab36e3e2a4ba8631625384f87e9e091db1faed034c5b23325b3239abf2cc525; pip-26.0.1.dist-info/licenses/src/pip/_vendor/distlib/LICENSE.txt sha256=808e10c8a6ab8deb149ff9b3fb19f447a808094606d712a9ca57fead3552599d; pip-26.0.1.dist-info/licenses/src/pip/_vendor/distro/LICENSE sha256=cb5e8e7e5f4a3988e1063c142c60dc2df75605f4c46515e776e3aca6df976e14; pip-26.0.1.dist-info/licenses/src/pip/_vendor/idna/LICENSE.md sha256=b7a336abf3b04e180ec065cdd16e705d079e1cc7a14f910aa6e9187f36b9cd87; pip-26.0.1.dist-info/licenses/src/pip/_vendor/msgpack/COPYING sha256=492dedba85da5872f78e6091bcd1fea474d660d35acb4dee964b8aab3f007427; pip-26.0.1.dist-info/licenses/src/pip/_vendor/packaging/LICENSE sha256=cad1ef5bd340d73e074ba614d26f7deaca5c7940c3d8c34852e65c4909686c48; pip-26.0.1.dist-info/licenses/src/pip/_vendor/packaging/LICENSE.APACHE sha256=0d542e0c8804e39aa7f37eb00da5a762149dc682d7829451287e11b938e94594; pip-26.0.1.dist-info/licenses/src/pip/_vendor/packaging/LICENSE.BSD sha256=b70e7e9b742f1cc6f948b34c16aa39ffece94196364bc88ff0d2180f0028fac5; pip-26.0.1.dist-info/licenses/src/pip/_vendor/pkg_resources/LICENSE sha256=86da0f01aeae46348a3c3d465195dc1ceccde79f79e87769a64b8da04b2a4741; pip-26.0.1.dist-info/licenses/src/pip/_vendor/platformdirs/LICENSE sha256=29e0fd62e929850e86eb28c3fdccf0cefdf4fa94879011cffb3d0d4bed6d4db6; pip-26.0.1.dist-info/licenses/src/pip/_vendor/pygments/LICENSE sha256=a9d66f1d526df02e29dce73436d34e56e8632f46c275bbdffc70569e882f9f17; pip-26.0.1.dist-info/licenses/src/pip/_vendor/pyproject_hooks/LICENSE sha256=1b22b049b5267d6dfc23a67bf4a84d8ec04b9fdfb1a51d360e42b4342c8b4154; pip-26.0.1.dist-info/licenses/src/pip/_vendor/requests/LICENSE sha256=09e8a9bcec8067104652c168685ab0931e7868f9c8284b66f5ae6edae5f1130b; pip-26.0.1.dist-info/licenses/src/pip/_vendor/resolvelib/LICENSE sha256=f388fd38cad13112c1dc0f669bbe80e7f84541edbafb72f3030d2ca7642c3c9d; pip-26.0.1.dist-info/licenses/src/pip/_vendor/rich/LICENSE sha256=deed7c17a4318158190a3ea239cc879a5a50271cebb98ae7025f48fbe58dca15; pip-26.0.1.dist-info/licenses/src/pip/_vendor/tomli/LICENSE sha256=b80816b0d530b8accb4c2211783790984a6e3b61922c2b5ee92f3372ab2742fe; pip-26.0.1.dist-info/licenses/src/pip/_vendor/tomli_w/LICENSE sha256=b80816b0d530b8accb4c2211783790984a6e3b61922c2b5ee92f3372ab2742fe; pip-26.0.1.dist-info/licenses/src/pip/_vendor/truststore/LICENSE sha256=33be7b7e8fa4fd19b1760e1a8ed8a668bdab852c91b692dd41424bcb725a9fca; pip-26.0.1.dist-info/licenses/src/pip/_vendor/urllib3/LICENSE.txt sha256=c37bf186e27cf9dbe9619e55edfe3cea7b30091ceb3da63c7dacbe0e6d77907b; pip/_vendor/cachecontrol/LICENSE.txt sha256=86eeee87be2a43f3ff1f56496f451f69243926f025fedbb033666c304c4c161b; pip/_vendor/certifi/LICENSE sha256=e93716da6b9c0d5a4a1df60fe695b370f0695603d21f6f83f053e42cfc10caf7; pip/_vendor/dependency_groups/LICENSE.txt sha256=1ab36e3e2a4ba8631625384f87e9e091db1faed034c5b23325b3239abf2cc525; pip/_vendor/distlib/LICENSE.txt sha256=808e10c8a6ab8deb149ff9b3fb19f447a808094606d712a9ca57fead3552599d; pip/_vendor/distro/LICENSE sha256=cb5e8e7e5f4a3988e1063c142c60dc2df75605f4c46515e776e3aca6df976e14; pip/_vendor/idna/LICENSE.md sha256=b7a336abf3b04e180ec065cdd16e705d079e1cc7a14f910aa6e9187f36b9cd87; pip/_vendor/msgpack/COPYING sha256=492dedba85da5872f78e6091bcd1fea474d660d35acb4dee964b8aab3f007427; pip/_vendor/packaging/LICENSE sha256=cad1ef5bd340d73e074ba614d26f7deaca5c7940c3d8c34852e65c4909686c48; pip/_vendor/packaging/LICENSE.APACHE sha256=0d542e0c8804e39aa7f37eb00da5a762149dc682d7829451287e11b938e94594; pip/_vendor/packaging/LICENSE.BSD sha256=b70e7e9b742f1cc6f948b34c16aa39ffece94196364bc88ff0d2180f0028fac5; pip/_vendor/pkg_resources/LICENSE sha256=86da0f01aeae46348a3c3d465195dc1ceccde79f79e87769a64b8da04b2a4741; pip/_vendor/platformdirs/LICENSE sha256=29e0fd62e929850e86eb28c3fdccf0cefdf4fa94879011cffb3d0d4bed6d4db6; pip/_vendor/pygments/LICENSE sha256=a9d66f1d526df02e29dce73436d34e56e8632f46c275bbdffc70569e882f9f17; pip/_vendor/pyproject_hooks/LICENSE sha256=1b22b049b5267d6dfc23a67bf4a84d8ec04b9fdfb1a51d360e42b4342c8b4154; pip/_vendor/requests/LICENSE sha256=09e8a9bcec8067104652c168685ab0931e7868f9c8284b66f5ae6edae5f1130b; pip/_vendor/resolvelib/LICENSE sha256=f388fd38cad13112c1dc0f669bbe80e7f84541edbafb72f3030d2ca7642c3c9d; pip/_vendor/rich/LICENSE sha256=deed7c17a4318158190a3ea239cc879a5a50271cebb98ae7025f48fbe58dca15; pip/_vendor/tomli/LICENSE sha256=b80816b0d530b8accb4c2211783790984a6e3b61922c2b5ee92f3372ab2742fe; pip/_vendor/tomli_w/LICENSE sha256=b80816b0d530b8accb4c2211783790984a6e3b61922c2b5ee92f3372ab2742fe; pip/_vendor/truststore/LICENSE sha256=33be7b7e8fa4fd19b1760e1a8ed8a668bdab852c91b692dd41424bcb725a9fca; pip/_vendor/urllib3/LICENSE.txt sha256=c37bf186e27cf9dbe9619e55edfe3cea7b30091ceb3da63c7dacbe0e6d77907b,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
platformdirs,4.9.6,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/platformdirs,7dc437d6904fab5d1b6527ac1bdfe03044e9ad53649dadc143471a6f2472927c,https://pypi.org/pypi/platformdirs/4.9.6/json,MIT,platformdirs-4.9.6.dist-info/licenses/LICENSE sha256=29e0fd62e929850e86eb28c3fdccf0cefdf4fa94879011cffb3d0d4bed6d4db6,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
pooch,1.9.0,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/pooch,7a67b1fba8575748276b1abee0db0d0c7d673d1f4f8f404699e949f1359da962,https://pypi.org/pypi/pooch/1.9.0/json,BSD-3-Clause,pooch-1.9.0.dist-info/licenses/LICENSE.txt sha256=af0482d59fc7a9d68d9f64682c74ce6e8a4684406bb3a21a191ae329950916b4,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
propcache,0.4.1,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/propcache,fc23f3c52b336d5335cd053f47d91ff6316949e65ad1f1e3dfccd5284f4d6ece,https://pypi.org/pypi/propcache/0.4.1/json,License :: OSI Approved :: Apache Software License,propcache-0.4.1.dist-info/licenses/LICENSE sha256=cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30; propcache-0.4.1.dist-info/licenses/NOTICE sha256=56d6ac6c8105c0a51304c21db060e361af9a8ea0af9a75c239c28b5d13693838,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
protobuf,7.35.0,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/protobuf,2953f6d4f80aa453359d9bb51987ae747c0ab0c20c9c24ea84d9a6cff82a0c32,https://pypi.org/pypi/protobuf/7.35.0/json,3-Clause BSD License,protobuf-7.35.0.dist-info/LICENSE sha256=6e5e117324afd944dcf67f36cf329843bc1a92229a8cd9bb573d7a83130fea7d,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
