name,observed_version,requested_version,request_matches,role,delivery,artifact,metadata_sha256,source,license_metadata,license_files,modification,required_notices,status
pytz,2026.2,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/pytz,56b1e4933e430bf524cc2cc6621bcd64cda12947ed22978d0ee241cd7f02f588,https://pypi.org/pypi/pytz/2026.2/json,License :: OSI Approved :: MIT License,pytz-2026.2.dist-info/LICENSE.txt sha256=be8b1a37ebe26c592a90f6c0eb33103a7f383ce2f4d7498c0af9a526990a07b8,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
PyYAML,6.0.3,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/PyYAML,03c3b415ed38d09faedc49360e930769b40c58f68585e6de00e2e4916a858d34,https://pypi.org/pypi/PyYAML/6.0.3/json,License :: OSI Approved :: MIT License,pyyaml-6.0.3.dist-info/licenses/LICENSE sha256=8d3928f9dc4490fd635707cb88eb26bd764102a7282954307d3e5167a577e8a4,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
qwen-tts,0.1.1,qwen-tts==0.1.1,True,direct-request,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/qwen-tts,f4c78c77e79916d9610490ed71d0020e9c3e2f29803587473502652b9cbffccc,https://pypi.org/pypi/qwen-tts/0.1.1/json,Apache-2.0,qwen_tts-0.1.1.dist-info/licenses/LICENSE sha256=a44a6081c73ad75f0255bb2bb5cab74ef1829565a895a24e53a4f11290ab7655,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
regex,2026.5.9,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/regex,463d12c4755958eaa7a11d0aed2d0e5e629f67d03ef484677ee3c72d70eccf81,https://pypi.org/pypi/regex/2026.5.9/json,Apache-2.0 AND CNRI-Python,regex-2026.5.9.dist-info/licenses/LICENSE.txt sha256=3d220c06594b826bbabf110312f60f385f99e57e529fa4b9e536f79091f8b4c7,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
requests,2.32.5,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/requests,65b5a08da81f4915513e760965ff14b7518f65b7bb3efe0dab364bbcc4d40cb0,https://pypi.org/pypi/requests/2.32.5/json,License :: OSI Approved :: Apache Software License,requests-2.32.5.dist-info/licenses/LICENSE sha256=09e8a9bcec8067104652c168685ab0931e7868f9c8284b66f5ae6edae5f1130b,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
rich,15.0.0,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/rich,fad34fc603fac4481bf81f8dd629492fc302c0ec31909c86644751512afb2e3b,https://pypi.org/pypi/rich/15.0.0/json,License :: OSI Approved :: MIT License,rich-15.0.0.dist-info/licenses/LICENSE sha256=deed7c17a4318158190a3ea239cc879a5a50271cebb98ae7025f48fbe58dca15,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
safehttpx,0.1.7,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/safehttpx,5be3880c8660a8d390e6ed5c22360612f338d05cb25020e2f6ca1218a7e4f449,https://pypi.org/pypi/safehttpx/0.1.7/json,License :: OSI Approved :: MIT License,safehttpx-0.1.7.dist-info/licenses/LICENSE sha256=c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
safetensors,0.7.0,safetensors==0.7.0,True,direct-request,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/safetensors,6809326fbf17444dd520ab19f0a55b7a18476dbe52a430466bbf5389967c2aaa,https://pypi.org/pypi/safetensors/0.7.0/json,License :: OSI Approved :: Apache Software License,safetensors-0.7.0.dist-info/licenses/LICENSE sha256=1eb85fc97224598dad1852b5d6483bbcf0aa8608790dcc657a5a2a761ae9c8c6,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
scikit-learn,1.8.0,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/scikit-learn,95a8f42f4170fc940a71fedfed4fd9353723eb44126130a971a072fe5305d967,https://pypi.org/pypi/scikit-learn/1.8.0/json,BSD-3-Clause,scikit_learn-1.8.0.dist-info/licenses/COPYING sha256=8d624f8b89a736db9539b9b64447a439352eabe2f8e2937b0860c5e2470268e1; sklearn/externals/array_api_compat/LICENSE sha256=464569596b7e6162762669e4e4d1fe8d2618c03901ca7ba36e2603415fb6865d; sklearn/externals/array_api_extra/LICENSE sha256=8b2e8a4aa8a98ed811f17be2807b1eb90dcb021c1e5a0304d784d0a24f4ee907; sklearn/svm/src/liblinear/COPYRIGHT sha256=5e6d496ace27b9b277e2311f894c8100660e8c95ce909c1c1f1abb4702946415,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
scipy,1.17.1,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/scipy,3a61ac02d145c9ca53f53d3f6f58d09017727a317731d0af02909730d4403e32,https://pypi.org/pypi/scipy/1.17.1/json,License :: OSI Approved :: BSD License,scipy-1.17.1.dist-info/LICENSE.txt sha256=564d63dbef2ef3eb1dec94908966d3edf5f11c487ee2cf2baf8bf3faef01bdd9; scipy/_lib/_uarray/LICENSE sha256=e4c4acc31e8287066d7c995d26e3ef902ca1977ee187b260b11c278366503811; scipy/fft/_pocketfft/LICENSE.md sha256=c04661685cff9d8035fe1c4c3ab357e7f7633cafc06a73e9d90c3c5fede8a86a; scipy/integrate/LICENSE_DOP sha256=6cc2ed6e35b8f376ff3d8f86aeef4e0c34c2309bd6f4a0565936d577839ba023; scipy/spatial/qhull_src/COPYING_QHULL.txt sha256=2a6ebb495e26dd5f88cbc40c593733da6edb27b64936f70409cd5a1acafb1c32,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
semantic-version,2.10.0,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/semantic-version,7414d469a569046b6a246bfb1f105aab1b7abfdc32a95253f15432ea30159aa6,https://pypi.org/pypi/semantic-version/2.10.0/json,License :: OSI Approved :: BSD License,semantic_version-2.10.0.dist-info/LICENSE sha256=a85e7ef2fbc670d26781ed6844cd31a7e8ada65d21328f75a0b02402faae37ea,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
sentencepiece,0.2.1,sentencepiece==0.2.1,True,direct-request,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/sentencepiece,ce0a2e9c599cd060a7bc3dffb18be5cfc3d5f293533e3ee4e870eaef0a5500fd,https://pypi.org/pypi/sentencepiece/0.2.1/json,not-declared,not-found-by-filename-scan,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
setuptools,82.0.1,setuptools==79.0.1,False,direct-request,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/setuptools,75683f40e1121ebccbbca4d679ae2dbf8a0be0ba91531df285b28abe927a43f8,https://pypi.org/pypi/setuptools/82.0.1/json,MIT,setuptools-82.0.1.dist-info/licenses/LICENSE sha256=86da0f01aeae46348a3c3d465195dc1ceccde79f79e87769a64b8da04b2a4741; setuptools/_vendor/autocommand-2.2.2.dist-info/LICENSE sha256=ade78d04982d69972d444a8e14a94f87a2334dd3855cc80348ea8e240aa0df2d; setuptools/_vendor/backports.tarfile-1.2.0.dist-info/LICENSE sha256=86da0f01aeae46348a3c3d465195dc1ceccde79f79e87769a64b8da04b2a4741; setuptools/_vendor/importlib_metadata-8.7.1.dist-info/licenses/LICENSE sha256=458502e12d97bbf64438606a20044aa85eb05fb0a8a807bb35dbec253fd1fc04; setuptools/_vendor/jaraco.text-4.0.0.dist-info/LICENSE sha256=86da0f01aeae46348a3c3d465195dc1ceccde79f79e87769a64b8da04b2a4741; setuptools/_vendor/jaraco_context-6.1.0.dist-info/licenses/LICENSE sha256=9755a18519666e5f0f4cae3daad3d7012bcae48a600b31237d75e9fe134e6683; setuptools/_vendor/jaraco_functools-4.4.0.dist-info/licenses/LICENSE sha256=5a57cb4db85e2a2dd88c290628908add57e3451449e0a9a71fdfb38776fd759d; setuptools/_vendor/more_itertools-10.8.0.dist-info/licenses/LICENSE sha256=09f1c8c9e941af3e584d59641ea9b87d83c0cb0fd007eb5ef391a7e2643c1a46; setuptools/_vendor/packaging-26.0.dist-info/licenses/LICENSE sha256=cad1ef5bd340d73e074ba614d26f7deaca5c7940c3d8c34852e65c4909686c48; setuptools/_vendor/packaging-26.0.dist-info/licenses/LICENSE.APACHE sha256=0d542e0c8804e39aa7f37eb00da5a762149dc682d7829451287e11b938e94594; setuptools/_vendor/packaging-26.0.dist-info/licenses/LICENSE.BSD sha256=b70e7e9b742f1cc6f948b34c16aa39ffece94196364bc88ff0d2180f0028fac5; setuptools/_vendor/platformdirs-4.4.0.dist-info/licenses/LICENSE sha256=29e0fd62e929850e86eb28c3fdccf0cefdf4fa94879011cffb3d0d4bed6d4db6; setuptools/_vendor/tomli-2.4.0.dist-info/licenses/LICENSE sha256=b80816b0d530b8accb4c2211783790984a6e3b61922c2b5ee92f3372ab2742fe; setuptools/_vendor/wheel-0.46.3.dist-info/licenses/LICENSE.txt sha256=30c23618679108f3e8ea1d2a658c7ca417bdfc891c98ef1a89fa4ff0c9828654; setuptools/_vendor/zipp-3.23.0.dist-info/licenses/LICENSE sha256=5a57cb4db85e2a2dd88c290628908add57e3451449e0a9a71fdfb38776fd759d; setuptools/config/NOTICE sha256=2dddf08818297a3b89d43d95ff659d8da85741108c9136dfa3a4d856c0623bd8; setuptools/config/_validate_pyproject/NOTICE sha256=09c9bcea95ca086f8bc5bed174e40bc835b297d40fb5f86bbbb570fe0a5581a7,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
shellingham,1.5.4,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/shellingham,183d80220a37493262795739dd357cc5bb3f49bd390cc9198d5180e5451a07fa,https://pypi.org/pypi/shellingham/1.5.4/json,License :: OSI Approved :: ISC License (ISCL),shellingham-1.5.4.dist-info/LICENSE sha256=f388fd38cad13112c1dc0f669bbe80e7f84541edbafb72f3030d2ca7642c3c9d,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
sherpa-onnx-core,1.12.39,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/sherpa-onnx-core,0947b23019b47b3aa31091b9f8bc5db0cc39fc31c1a5af0cb17f74d973ef53ea,https://pypi.org/pypi/sherpa-onnx-core/1.12.39/json,Apache-2.0,not-found-by-filename-scan,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
sherpa_onnx,1.12.39,sherpa-onnx==1.12.39,True,direct-request,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/sherpa_onnx,d36b5b124eb474edbb85c441e09c1f7707e9a23efbe47caee9bde8ad12d25728,https://pypi.org/pypi/sherpa_onnx/1.12.39/json,"Apache licensed, as found in the LICENSE file",sherpa_onnx-1.12.39.dist-info/licenses/LICENSE sha256=3ddf9be5c28fe27dad143a5dc76eea25222ad1dd68934a047064e56ed2fa40c5,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
six,1.17.0,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/six,562042078c2752549f6d8a7c86dbc5dd708088a7be6d80672ec7b07100b72468,https://pypi.org/pypi/six/1.17.0/json,License :: OSI Approved :: MIT License,six-1.17.0.dist-info/LICENSE sha256=4375ba20e2b9c6c4e7cad2940a628fd90e95cc3d50ee92aae755715d8ba1fbd0,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
sounddevice,0.5.5,sounddevice==0.5.5,True,direct-request,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/sounddevice,06084da6630a6dc02ef6c62e67d55ae7323cb22f0a559618c8286cb5234e241d,https://pypi.org/pypi/sounddevice/0.5.5/json,MIT,sounddevice-0.5.5.dist-info/licenses/LICENSE sha256=b6eea21bbafbaf7a2177e492f1be6b5efc6f4e708b1980773de51cdaa52f8211,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
soundfile,0.12.1,soundfile==0.12.1,True,direct-request,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/soundfile,d200e6f6a800b0a38f0c523d28952ad7af50278ab6877edad90101e56da626e3,https://pypi.org/pypi/soundfile/0.12.1/json,License :: OSI Approved :: BSD License,_soundfile_data/COPYING sha256=ad01ea5cd2755f6048383c8d54c88459cd6fcb17757c5c8892f8c5ea060f6140; soundfile-0.12.1.dist-info/LICENSE sha256=0dd2e411fed553ba891845077e5a32c5b726d1bbc46ff31a2118ae1ccf816752,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
sox,1.4.1,sox==1.5.0,False,direct-request,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/sox,0736ecf667fb557502f9862374751fa5b50596a4e33f40f2bea23f91b099f3b4,https://pypi.org/pypi/sox/1.4.1/json,BSD-3-Clause,sox-1.4.1.dist-info/LICENSE sha256=852a7b5216348945fe66a6481b522fc1b4d5f8e209f9704e1d156482fd4af47e,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
soxr,1.1.0,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/soxr,4e2130ae330b85d863346ac935888e66d6816d8e934b6f4416614e8d22a4dc2e,https://pypi.org/pypi/soxr/1.1.0/json,LGPL-2.1-or-later,soxr-1.1.0.dist-info/licenses/COPYING.LGPL sha256=317dfba8116739654c8c2d8acbc9c7edfcf34e3932e7a4b15307435228f98c3a; soxr-1.1.0.dist-info/licenses/LICENSE-PFFFT.txt sha256=7847a2f45a0da613240a7e542980677c16613b1c8258190c15f8bf275032bb2d; soxr-1.1.0.dist-info/licenses/LICENSE-libsoxr.txt sha256=73b946c198ad27fc2ae7bea2de6ec6d1b6c0733340d1759a450150271347e5af; soxr-1.1.0.dist-info/licenses/LICENSE.txt sha256=16ce7f03077f25fac6a9b89fdf6136927595f6b85db9197381ee99c1ecba357b,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
starlette,1.0.0,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/starlette,d528264928766caf6036b93c410019e9444ace44f9ab4e23ca302badc7fbff93,https://pypi.org/pypi/starlette/1.0.0/json,BSD-3-Clause,starlette-1.0.0.dist-info/licenses/LICENSE.md sha256=dcb95677a02240243187e964f941847d19b17821cf99e5afae684fab328c19bf,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
sympy,1.14.0,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/sympy,b756c2fbfd5be05ac5bdb0ebca61f55618f30f633ed92d88a5687429313a7595,https://pypi.org/pypi/sympy/1.14.0/json,License :: OSI Approved :: BSD License,sympy-1.14.0.dist-info/licenses/LICENSE sha256=07a5e9819f727b4986ad2829c7a29a6320d42575f720eb24d71b7fef573a0286; sympy/parsing/latex/LICENSE.txt sha256=007bc30a58fa40a996e772047120de4eaf31f5110e4f9c3b5f93fcdfbe2eaca1,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
tabulate,0.9.0,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/tabulate,f2802aade2612091b45951f265af29174f90c3236f68cc8ccdeb646941e62969,https://pypi.org/pypi/tabulate/0.9.0/json,License :: OSI Approved :: MIT License,tabulate-0.9.0.dist-info/LICENSE sha256=cdfab50d37d8ead06468fb76a3abafcd05c16749ec8a18eebfa50fd48c7cb2d2,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
threadpoolctl,3.6.0,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/threadpoolctl,a45df8d07ea1883d772183a501d7d526076aa70dfcfddb276a2cbdc04def5341,https://pypi.org/pypi/threadpoolctl/3.6.0/json,License :: OSI Approved :: BSD License,threadpoolctl-3.6.0.dist-info/licenses/LICENSE sha256=81ac619075248b06e53660b652d10e485f4675f5d0ae0f97ea22370da1f7e23b,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
tokenizers,0.22.2,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/tokenizers,15a5ddaf489f592b77e0a934c0eeb46b51130a94064ca129232afdb0a3868efc,https://pypi.org/pypi/tokenizers/0.22.2/json,License :: OSI Approved :: Apache Software License,not-found-by-filename-scan,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
tomlkit,0.14.0,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/tomlkit,2404b6a8b042bad3dbd0e0d5c0009fffc351fc718cf77bc1d908b4ead77565b9,https://pypi.org/pypi/tomlkit/0.14.0/json,License :: OSI Approved :: MIT License,tomlkit-0.14.0.dist-info/licenses/LICENSE sha256=f2f9b460ba719da6626add264d3782f275a4ff7aab677beda08b330911e23adb,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
torch,2.10.0,torch==2.10.0,True,direct-request,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/torch,7533a85701acaee468218af4497a84309d365ab02118f9547c01f271ae75a4e2,https://pypi.org/pypi/torch/2.10.0/json,BSD-3-Clause,torch-2.10.0.dist-info/LICENSE sha256=fdebf104aa527ebbdbf378de158ffb2b1dd461a37160d142e4f8ecac9e943b8e; torch-2.10.0.dist-info/NOTICE sha256=1c3dec6c0342c7ed9e12af59b296c7bb1d394af5cf881db74191cc8299efce5c,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
torchaudio,2.11.0,torchaudio==2.10.0,False,direct-request,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/torchaudio,1ac77b6a77750febc5fe4921ac29d43b3cebf5b191d03c0e1413cab7e343ac31,https://pypi.org/pypi/torchaudio/2.11.0/json,License :: OSI Approved :: BSD License,torchaudio-2.11.0.dist-info/licenses/LICENSE sha256=32638e179931bfe551eabf67b0e67a13b483e166b58dd7263634ab7f89f396f5,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
tqdm,4.67.3,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/tqdm,7c0e9a662c19095f339a4b761201eb06cff9c61fb9581535b2f96f44e718ed29,https://pypi.org/pypi/tqdm/4.67.3/json,MPL-2.0 AND MIT,not-found-by-filename-scan,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
transformers,4.57.3,transformers==4.57.3,True,direct-request,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/transformers,ab7bf54a8650a611b6e045af2b681993f261302f7ee4dca8857712de0737c577,https://pypi.org/pypi/transformers/4.57.3/json,License :: OSI Approved :: Apache Software License,transformers-4.57.3.dist-info/licenses/LICENSE sha256=77fd4710def9ec3c0f6225800e0235f15a425abd4a8b03559127fcd782612049,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
typer,0.25.1,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/typer,304553e1baf26f16bcefa5b52dd7dad869e750b5967dfd774b8966748f5d36ff,https://pypi.org/pypi/typer/0.25.1/json,MIT,typer-0.25.1.dist-info/licenses/LICENSE sha256=58992cebcf8dfb6e40c4e2112ed12126c243666dca3912a3d78b7ecac4859d49,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
typing-inspection,0.4.2,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/typing-inspection,61096cd0bfe3c7040b6f98c22b02d190fe01936d0ff7616c5134fed02891953a,https://pypi.org/pypi/typing-inspection/0.4.2/json,MIT,typing_inspection-0.4.2.dist-info/licenses/LICENSE sha256=804b59b25f2c31bd278f9202a19ae49a3945aa2664387e2d0a128c7cacc61ec3,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
typing_extensions,4.15.0,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/typing_extensions,c138378fe8f18934ac99de060535c53ec6c13aeed65e94c32641da7ee3192a72,https://pypi.org/pypi/typing_extensions/4.15.0/json,PSF-2.0,typing_extensions-4.15.0.dist-info/licenses/LICENSE sha256=3b2f81fe21d181c499c59a256c8e1968455d6689d269aa85373bfb6af41da3bf,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
tzdata,2026.2,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/tzdata,1f197d996db42bf40a79d3578084963f6204506dfee9809af81586dbb9607061,https://pypi.org/pypi/tzdata/2026.2/json,Apache-2.0,tzdata-2026.2.dist-info/licenses/LICENSE sha256=33e8e5002d3512d3fcc2282b995e6bad9d334781b9c5ac31843f404900e1f3b4; tzdata-2026.2.dist-info/licenses/licenses/LICENSE_APACHE sha256=c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
urllib3,2.6.3,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/urllib3,e91390cc9af49b019738f1d739b5cd925130c32e9d3e6acc0863c21c5d9882ef,https://pypi.org/pypi/urllib3/2.6.3/json,MIT,urllib3-2.6.3.dist-info/licenses/LICENSE.txt sha256=130e3a64d5fdd5d096a752694634a7d9df284469de86e5732100268041e3d686,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
uvicorn,0.47.0,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/uvicorn,f0932566ae6b0d700fdff896d843b6a0e3d03bf4397220b6bdfa5e0edd41c3f1,https://pypi.org/pypi/uvicorn/0.47.0/json,BSD-3-Clause,uvicorn-0.47.0.dist-info/licenses/LICENSE.md sha256=efe1acf3e62fb99c288b0ec73e5a773b7268ef4320fe757ea994214e4b63c371,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
Werkzeug,3.1.6,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/Werkzeug,de091e6e746e8022d598e6e0886c497a2dfe0db54d94f0f1aeb230ba4416384d,https://pypi.org/pypi/Werkzeug/3.1.6/json,BSD-3-Clause,werkzeug-3.1.6.dist-info/licenses/LICENSE.txt sha256=3b49dcee4105eb37bac10faf1be260408fe85d252b8e9df2e0979fc1e094437b,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
yarl,1.22.0,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/yarl,8004c398c5d50b9ded9c4143c0570e775b242b914cf2424d6d8f061640910cb8,https://pypi.org/pypi/yarl/1.22.0/json,License :: OSI Approved :: Apache Software License,yarl-1.22.0.dist-info/licenses/LICENSE sha256=cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30; yarl-1.22.0.dist-info/licenses/NOTICE sha256=56d6ac6c8105c0a51304c21db060e361af9a8ea0af9a75c239c28b5d13693838,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
